vanHecke,22,Centre-Back,NetherlandsU21,Brighton&HoveAlbion,4
Estupiñán,25,Left-Back,Ecuador,Brighton&HoveAlbion,20
Lamptey,22,Right-Back,Ghana,Brighton&HoveAlbion,15
Veltman,31,Right-Back,Netherlands,Brighton&HoveAlbion,10
Caicedo,21,CentralMidfield,Ecuador,Brighton&HoveAlbion,55
MacAllister,24,CentralMidfield,Argentina,Brighton&HoveAlbion,42
Moder,23,CentralMidfield,Poland,Brighton&HoveAlbion,12
Gilmour,21,CentralMidfield,Scotland,Brighton&HoveAlbion,9
Groß,31,CentralMidfield,GermanyU20,Brighton&HoveAlbion,8
Ayari,19,CentralMidfield,SwedenU21,Brighton&HoveAlbion,4
March,28,LeftMidfield,England,Brighton&HoveAlbion,18
Buonanotte,18,AttackingMidfield,Argentina,Brighton&HoveAlbion,9
Sarmiento,20,AttackingMidfield,Ecuador,Brighton&HoveAlbion,5
Lallana,34,AttackingMidfield,England,Brighton&HoveAlbion,1.5
Mitoma,25,LeftWinger,Japan,Brighton&HoveAlbion,22
Enciso,19,SecondStriker,Paraguay,Brighton&HoveAlbion,11
Ferguson,18,Centre-Forward,Ireland,Brighton&HoveAlbion,10
Welbeck,32,Centre-Forward,England,Brighton&HoveAlbion,8
Undav,26,Centre-Forward,Germany,Brighton&HoveAlbion,6
Pickford,29,Goalkeeper,England,EvertonFC,25
Begovic,35,Goalkeeper,Bosnia,EvertonFC,1
Lonergan,39,Goalkeeper,EnglandU21,EvertonFC,0.2
Tarkowski,30,Centre-Back,England,EvertonFC,22
Coady,30,Centre-Back,England,EvertonFC,18
Godfrey,25,Centre-Back,England,EvertonFC,15
Holgate,26,Centre-Back,England,EvertonFC,12
Mina,28,Centre-Back,Colombia,EvertonFC,12
Keane,30,Centre-Back,England,EvertonFC,10
Mykolenko,23,Left-Back,Ukraine,EvertonFC,22
Vinagre,23,Left-Back,PortugalU21,EvertonFC,5
Patterson,21,Right-Back,Scotland,EvertonFC,14
Coleman,34,Right-Back,Ireland,EvertonFC,1.2
Onana,21,DefensiveMidfield,Belgium,EvertonFC,42
Garner,22,DefensiveMidfield,England,EvertonFC,14
Doucouré,30,CentralMidfield,Mali,EvertonFC,12
Davies,24,CentralMidfield,England,EvertonFC,12
Gueye,33,CentralMidfield,Senegal,EvertonFC,8
Iwobi,26,AttackingMidfield,Nigeria,EvertonFC,25
Gray,26,LeftWinger,England,EvertonFC,20
McNeil,23,LeftWinger,EnglandU21,EvertonFC,18
Townsend,31,RightWinger,England,EvertonFC,2.5
Calvert-Lewin,26,Centre-Forward,England,EvertonFC,25
Maupay,26,Centre-Forward,France,EvertonFC,13
Henderson,26,Goalkeeper,England,NottinghamForest,22
Navas,36,Goalkeeper,CostaRica,NottinghamForest,5
Hennessey,36,Goalkeeper,Wales,NottinghamForest,0.5
Niakhaté,27,Centre-Back,Senegal,NottinghamForest,18
McKenna,26,Centre-Back,Scotland,NottinghamForest,10
Worrall,26,Centre-Back,England,NottinghamForest,8
Boly,32,Centre-Back,IvoryCoast,NottinghamForest,4
